,,,The predicted value of target variable from ML model,,,August Grade 1 is School month 1,Percentile based on a distribution and estimated parameters
Grade,pupilId,screeningId,WCPM_aloud_pred,date,Screening month,School month,Percentile
1,b2d6fe76-063f-4a52-94eb-3a3f2ae55c07,8a389375-9b9a-485b-bcc9-00330eda59d6,9.136752,Recording date: 2019-09-13 (UTC),9,2,37
1,b2d6fe76-063f-4a52-94eb-3a3f2ae55c07,8a389375-9b9a-485b-bcc9-00330eda59d6,10.281345,Recording date: 2019-09-13 (UTC),9,2,38
1,b4a62b00-ab60-47fa-8bb3-7903c969b861,58888c4e-a42d-43a6-8b77-b0be8052a662,12.041275,Recording date: 2019-09-13 (UTC),9,2,40
1,b4a62b00-ab60-47fa-8bb3-7903c969b861,58888c4e-a42d-43a6-8b77-b0be8052a662,9.588606,Recording date: 2019-09-13 (UTC),9,2,37
1,bad1206f-920d-43d8-a9ab-a201f9020e28,5118c080-9a6e-40d2-b10b-19c78a9461ea,10.363733,Recording date: 2019-09-13 (UTC),9,2,38
1,bad1206f-920d-43d8-a9ab-a201f9020e28,5118c080-9a6e-40d2-b10b-19c78a9461ea,12.78487,Recording date: 2019-09-13 (UTC),9,2,41
1,f201266e-d10c-4344-aaf1-7e79393df185,07267dee-cb7f-40fc-9787-88ef0f677353,9.816767,Recording date: 2019-09-13 (UTC),9,2,38
1,f201266e-d10c-4344-aaf1-7e79393df185,07267dee-cb7f-40fc-9787-88ef0f677353,45.331715,Recording date: 2019-09-13 (UTC),9,2,79
1,f313d8cd-066b-470d-b076-37d9ca78f6ef,fc90b6d9-9c4b-4d3f-ace9-e659b3289e15,5.4138265,Recording date: 2019-09-13 (UTC),9,2,32
1,f313d8cd-066b-470d-b076-37d9ca78f6ef,fc90b6d9-9c4b-4d3f-ace9-e659b3289e15,11.758646,Recording date: 2019-09-13 (UTC),9,2,40
1,fb9ef6d1-ff5c-4788-8a86-b8aea31b48ae,41946647-ed23-4165-8188-ea42cc58e1ce,20.776028,Recording date: 2019-09-13 (UTC),9,2,51
1,fb9ef6d1-ff5c-4788-8a86-b8aea31b48ae,41946647-ed23-4165-8188-ea42cc58e1ce,13.583891,Recording date: 2019-09-13 (UTC),9,2,42
1,8ce1125d-0184-4fbc-af20-ebee54457e58,bc959873-5bfe-4bea-aec6-00fdc986afae,42.242867,Recording date: 2019-09-13 (UTC),9,2,76
1,8ce1125d-0184-4fbc-af20-ebee54457e58,bc959873-5bfe-4bea-aec6-00fdc986afae,25.159346,Recording date: 2019-09-13 (UTC),9,2,56
1,2044d830-ef53-47e3-9d33-14607492783b,b8ed981f-673b-4718-8a5c-c1afbf9d16ac,84.82796,Recording date: 2019-09-13 (UTC),9,2,98
1,2044d830-ef53-47e3-9d33-14607492783b,b8ed981f-673b-4718-8a5c-c1afbf9d16ac,77.88402,Recording date: 2019-09-13 (UTC),9,2,97
1,23aad6ae-8aca-422b-ba12-939429b027a5,db4ff176-8caa-4245-a983-7b9dea107fa6,2.0953815,Recording date: 2019-09-13 (UTC),9,2,29
1,23aad6ae-8aca-422b-ba12-939429b027a5,db4ff176-8caa-4245-a983-7b9dea107fa6,9.1440525,Recording date: 2019-09-13 (UTC),9,2,37
1,338a8693-83a7-48e4-8ef7-145144819748,c2b44b26-5b96-40dd-bed1-7d31a4a5c698,70.518776,Recording date: 2019-09-13 (UTC),9,2,95
1,338a8693-83a7-48e4-8ef7-145144819748,c2b44b26-5b96-40dd-bed1-7d31a4a5c698,94.96464,Recording date: 2019-09-13 (UTC),9,2,100
1,3434b5c8-c295-43af-89d9-2c2041fd1e76,a2248f92-35e9-4c37-bb51-9972a7156eb8,7.566389,Recording date: 2019-09-13 (UTC),9,2,35
1,3434b5c8-c295-43af-89d9-2c2041fd1e76,a2248f92-35e9-4c37-bb51-9972a7156eb8,8.45162,Recording date: 2019-09-13 (UTC),9,2,36
1,4dbe5f01-246c-479d-bc10-165f81d01131,5a388a01-a213-4d63-8d12-85a0d7440d3c,27.221415,Recording date: 2019-09-23 (UTC),9,2,59
1,4dbe5f01-246c-479d-bc10-165f81d01131,5a388a01-a213-4d63-8d12-85a0d7440d3c,24.948732,Recording date: 2019-09-23 (UTC),9,2,56
1,4e463638-18b5-46ce-86d9-afa360abc5c0,76a444eb-f7a5-4f63-bb81-12edec7a3f49,8.055035,Recording date: 2019-09-13 (UTC),9,2,35
1,4e463638-18b5-46ce-86d9-afa360abc5c0,76a444eb-f7a5-4f63-bb81-12edec7a3f49,16.480057,Recording date: 2019-09-13 (UTC),9,2,46
1,57b03f17-1b3f-4b01-aad3-48eda26e0eb7,c899e694-4932-4d58-b5a1-71d97a10e47b,7.460342,Recording date: 2019-09-13 (UTC),9,2,35
1,57b03f17-1b3f-4b01-aad3-48eda26e0eb7,c899e694-4932-4d58-b5a1-71d97a10e47b,4.8060737,Recording date: 2019-09-13 (UTC),9,2,32
1,5bfb7631-ba44-4149-9e22-d206772af581,04db945a-c343-42dc-a213-bb2c6725b4ea,55.362843,Recording date: 2019-09-13 (UTC),9,2,87
1,5bfb7631-ba44-4149-9e22-d206772af581,04db945a-c343-42dc-a213-bb2c6725b4ea,39.651928,Recording date: 2019-09-13 (UTC),9,2,73
1,6f2cb13a-4a9d-48a5-83ae-e272081a6cdf,2fb4568d-e189-44ae-ba2b-8dc191e4f499,3.5459912,Recording date: 2019-09-13 (UTC),9,2,30
